name,url,state
UCO Bank - Digha Ghat Branch,https://www.google.com/maps/place/UCO+Bank+-+Digha+Ghat+Branch/data=!4m7!3m6!1s0x39ed57639c684377:0xa5aec13442cd6581!8m2!3d25.643378!4d85.1021006!16s%2Fg%2F1hdzzqspc!19sChIJd0NonGNX7TkRgWXNQjTBrqU?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ed5843a3056c4b:0x69a4f01d48739f90!8m2!3d25.6119099!4d85.1382701!16s%2Fg%2F1tmpcbsd!19sChIJS2wFo0NY7TkRkJ9zSB3wpGk?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ed57fd3a7bc5bb:0x54c03f97b0b8d49b!8m2!3d25.5829236!4d85.0967301!16s%2Fg%2F11c37jsqr4!19sChIJu8V7Ov1X7TkRm9S4sJc_wFQ?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ed10cde977a995:0xc845e62683f32fa8!8m2!3d26.1218153!4d85.3591426!16s%2Fg%2F11cn3n8kd7!19sChIJlal36c0Q7TkRqC_zgybmRcg?authuser=0&hl=en&rclk=1,Bihar
UCO Bank - Madhepura Branch,https://www.google.com/maps/place/UCO+Bank+-+Madhepura+Branch/data=!4m7!3m6!1s0x39ee36d36ef61eb5:0xcbefd622ab31c2a!8m2!3d25.9134086!4d86.7877219!16s%2Fg%2F1pp2vmc70!19sChIJtR72btM27jkRKhyzKmL9vgw?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f2a9dff5113857:0x50c6f88067ee80d8!8m2!3d25.5787159!4d85.0485589!16s%2Fg%2F11gfddl_qx!19sChIJVzgR9d-p8jkR2IDuZ4D4xlA?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f05565f6c3f577:0x84fd8f0bfb250d64!8m2!3d24.8843245!4d86.9281904!16s%2Fg%2F11dxd34y58!19sChIJd_XD9mVV8DkRZA0l-wuP_YQ?authuser=0&hl=en&rclk=1,Bihar
"UCO Bank, Kasba","https://www.google.com/maps/place/UCO+Bank,+Kasba/data=!4m7!3m6!1s0x39eff7df1660adc5:0x14122564680252e1!8m2!3d25.8593343!4d87.5379648!16s%2Fg%2F11clvn_x_l!19sChIJxa1gFt_37zkR4VICaGQlEhQ?authuser=0&hl=en&rclk=1",Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ed59d70e827d85:0x40e02b8bbffff96f!8m2!3d25.6361517!4d85.1081022!16s%2Fg%2F124yg6r_x!19sChIJhX2CDtdZ7TkRb_n_v4sr4EA?authuser=0&hl=en&rclk=1,Bihar
UCO Bank Khaira,https://www.google.com/maps/place/UCO+Bank+Khaira/data=!4m7!3m6!1s0x39f1b49b6750fe89:0x891718c483e7facd!8m2!3d25.1623907!4d86.8734968!16s%2Fg%2F11f_j1sxn2!19sChIJif5QZ5u08TkRzfrng8QYF4k?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ed5f83df8a1e61:0xbc59961985149fbf!8m2!3d25.591378!4d85.234624!16s%2Fg%2F11bv1c745c!19sChIJYR6K34Nf7TkRv58UhRmWWbw?authuser=0&hl=en&rclk=1,Bihar
UCO Bank - Sheohar Branch,https://www.google.com/maps/place/UCO+Bank+-+Sheohar+Branch/data=!4m7!3m6!1s0x39ece7c720460ba9:0x7d26a7f37a8368c1!8m2!3d26.5107164!4d85.2975204!16s%2Fg%2F11cm0gl9pk!19sChIJqQtGIMfn7DkRwWiDevOnJn0?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f2054ace8fabe9:0xd7286177fd356cfc!8m2!3d25.4224771!4d86.1127458!16s%2Fg%2F1hm2j4rvc!19sChIJ6auPzkoF8jkR_Gw1_XdhKNc?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f32a3c2e9f01ed:0x8d23d0a4c976782c!8m2!3d24.7940941!4d85.0081254!16s%2Fg%2F11cs4gxs7j!19sChIJ7QGfLjwq8zkRLHh2yaTQI40?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39edcd412a88a6ef:0xffc2a5f8c5aaf510!8m2!3d26.3480376!4d86.0759497!16s%2Fg%2F11c5wxrksf!19sChIJ76aIKkHN7TkREPWqxfilwv8?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3992ab99b6be3e67:0xc9666f00be315c6c!8m2!3d25.6479688!4d84.8914607!16s%2Fg%2F11dxlg3gnc!19sChIJZz6-tpmrkjkRbFwxvgBvZsk?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ed10f0686247a7:0xcd6cdbc94c77611!8m2!3d26.1227428!4d85.3879331!16s%2Fg%2F11dfnbt3vz!19sChIJp0diaPAQ7TkREXbHlLzN1gw?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39eff970038e42ed:0x58e829653e056a39!8m2!3d25.7714846!4d87.4706902!16s%2Fg%2F1pp2wz_6q!19sChIJ7UKOA3D57zkROWoFPmUp6Fg?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f1bb7c664fe4d5:0x9b9e125c9bfb4dc2!8m2!3d25.0971198!4d86.6663381!16s%2Fg%2F11c30s6x_3!19sChIJ1eRPZny78TkRwk37m1wSnps?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x398db74b0e82ee57:0x366433281b331f23!8m2!3d24.9543271!4d84.0154772!16s%2Fg%2F11g6xq_ycv!19sChIJV-6CDku3jTkRIx8zGygzZDY?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ed5814d2e51707:0x4a92140465c78ad9!8m2!3d25.6021105!4d85.1273723!16s%2Fg%2F11b7hqdhl0!19sChIJBxfl0hRY7TkR2YrHZQQUkko?authuser=0&hl=en&rclk=1,Bihar
"UCO Bank, Bounsi Branch","https://www.google.com/maps/place/UCO+Bank,+Bounsi+Branch/data=!4m7!3m6!1s0x39f0f99f6557ece1:0xa5c5521c270eee46!8m2!3d24.8028472!4d87.0256049!16s%2Fg%2F11f03qfzzm!19sChIJ4exXZZ_58DkRRu4OJxxSxaU?authuser=0&hl=en&rclk=1",Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39edf68c344dc419:0x752f7b327c879c95!8m2!3d25.6650022!4d86.0285617!16s%2Fg%2F11g_8sv44!19sChIJGcRNNIz27TkRlZyHfDJ7L3U?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ed582bc657830f:0x86489c43f0a40c74!8m2!3d25.6242785!4d85.1105731!16s%2Fg%2F11clsj0fqy!19sChIJD4NXxitY7TkRdAyk8EOcSIY?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x398cfc4c7c3d0859:0x388aca4a2a79a1ff!8m2!3d24.7490407!4d84.3804188!16s%2Fg%2F11c70bx_4s!19sChIJWQg9fEz8jDkR_6F5KkrKijg?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f04a1b0316e22d:0x32c872c9ca727e4f!8m2!3d25.2387284!4d86.9751362!16s%2Fg%2F1pp2wzzw5!19sChIJLeIWAxtK8DkRT35yyslyyDI?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ed57bf91335299:0xc3433868d4c695c1!8m2!3d25.6051556!4d85.0838225!16s%2Fg%2F11b7hwyzns!19sChIJmVIzkb9X7TkRwZXG1Gg4Q8M?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f1bc005d921b61:0x8693f826cf673e4e!8m2!3d25.1489458!4d86.6597731!16s%2Fg%2F11ckkxz5cw!19sChIJYRuSXQC88TkRTj5nzyb4k4Y?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f1ff4045665e53:0xb58316002e3b468a!8m2!3d25.5423542!4d86.2748362!16s%2Fg%2F11by_n485v!19sChIJU15mRUD_8TkRikY7LgAWg7U?authuser=0&hl=en&rclk=1,Bihar
UCO Bank - Ghogha Branch,https://www.google.com/maps/place/UCO+Bank+-+Ghogha+Branch/data=!4m7!3m6!1s0x39f040e6511a4af7:0x78f7a72ee4af048d!8m2!3d25.2186609!4d87.1650037!16s%2Fg%2F11g8ctjgd8!19sChIJ90oaUeZA8DkRjQSv5C6n93g?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ef7582315d6e75:0x1183dbb175773a5a!8m2!3d26.400273!4d87.2639772!16s%2Fg%2F11f016_5d5!19sChIJdW5dMYJ17zkRWjp3dbHbgxE?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x398d7ca39db49e97:0x5e401d8bb5da99e3!8m2!3d25.4710537!4d84.4216356!16s%2Fg%2F1hc324gn_!19sChIJl560naN8jTkR45natYsdQF4?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f2b59c7006424d:0x3d7e9814947b3318!8m2!3d25.2145756!4d84.9863385!16s%2Fg%2F11gd_9sq5l!19sChIJTUIGcJy18jkRGDN7lBSYfj0?authuser=0&hl=en&rclk=1,Bihar
"UCO Bank , Cheria Bariarpur","https://www.google.com/maps/place/UCO+Bank+,+Cheria+Bariarpur/data=!4m7!3m6!1s0x39f2087622b647c3:0x2a6113d422cca5c9!8m2!3d25.5798643!4d86.0929337!16s%2Fg%2F11g6ql8ftk!19sChIJw0e2InYI8jkRyaXMItQTYSo?authuser=0&hl=en&rclk=1",Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39edf66e0dcc0af3:0xa21079a137bfac6f!8m2!3d25.6386689!4d86.0232944!16s%2Fg%2F11g6xs05rz!19sChIJ8wrMDW727TkRb6y_N6F5EKI?authuser=0&hl=en&rclk=1,Bihar
UCO Bank MLSM BRANCH,https://www.google.com/maps/place/UCO+Bank+MLSM+BRANCH/data=!4m7!3m6!1s0x39edb83c83a4a23b:0xc3f6a6dcbaaa3cb7!8m2!3d26.1581187!4d85.9050315!16s%2Fg%2F1tplj42n!19sChIJO6Kkgzy47TkRtzyqutym9sM?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f21aaa1f881997:0x43ddfb46ff0b37ce!8m2!3d25.4158607!4d86.0950047!16s%2Fg%2F11cmbf_dhk!19sChIJlxmIH6oa8jkRzjcL_0b73UM?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f32a44bb8a16a1:0x767d2fe4ee174ae!8m2!3d24.7906476!4d84.9932234!16s%2Fg%2F119tbrgrn!19sChIJoRaKu0Qq8zkRrnThTv7SZwc?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39effa59f4c19315:0xc14e16753eaa30c4!8m2!3d25.7950821!4d87.4253726!16s%2Fg%2F11dxlc6nbk!19sChIJFZPB9Fn67zkRxDCqPnUWTsE?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f2751d81ff4ab7:0xe270ee8bb5e22bf7!8m2!3d25.5586726!4d85.9023796!16s%2Fg%2F11bbykff7g!19sChIJt0r_gR118jkR9yvitYvucOI?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3992b8d64b254a0b:0xeae6570e2d2b60a5!8m2!3d25.8990593!4d84.6974434!16s%2Fg%2F11bv3827f6!19sChIJC0olS9a4kjkRpWArLQ5X5uo?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ef894fe4e78767:0x72cc48348114eb7f!8m2!3d26.126131!4d87.4696026!16s%2Fg%2F11c5_wjhhp!19sChIJZ4fn5E-J7zkRf-sUgTRIzHI?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f21ad6e88bf987:0x83e0677e2ad43598!8m2!3d25.4145294!4d86.1308841!16s%2Fg%2F11h2p3bdxr!19sChIJh_mL6NYa8jkRmDXUKn5n4IM?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f20fd705ed33df:0xbaacfbda177cac24!8m2!3d25.4241924!4d86.0610358!16s%2Fg%2F11c6029r9g!19sChIJ3zPtBdcP8jkRJKx8F9r7rLo?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3992a18e3ad610bf:0xa09f11d9ba45ebfa!8m2!3d25.6481497!4d84.6340203!16s%2Fg%2F11cn3v6cfs!19sChIJvxDWOo6hkjkR-utFutkRn6A?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x399334e1d480e9e9:0x6d5a10505cd5fa8c!8m2!3d26.6586302!4d84.9165778!16s%2Fg%2F125_ylvzh!19sChIJ6emA1OE0kzkRjPrVXFAQWm0?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3992bae83d345e0d:0x8d54d05b9698b5be!8m2!3d25.7819478!4d84.7434146!16s%2Fg%2F1tltksb5!19sChIJDV40Pei6kjkRvrWYllvQVI0?authuser=0&hl=en&rclk=1,Bihar
UCO Bank - Banwaripur Branch,https://www.google.com/maps/place/UCO+Bank+-+Banwaripur+Branch/data=!4m7!3m6!1s0x39f20ae31aaaaaab:0xd94e245cc0776bbf!8m2!3d25.5615652!4d85.9632852!16s%2Fg%2F11c1xm8zr2!19sChIJq6qqGuMK8jkRv2t3wFwkTtk?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f1eee43c6acf89:0xbfa383356317e654!8m2!3d25.3761955!4d86.4735352!16s%2Fg%2F11c5wk3bsl!19sChIJic9qPOTu8TkRVOYXYzWDo78?authuser=0&hl=en&rclk=1,Bihar
UCO Bank CSP,https://www.google.com/maps/place/UCO+Bank+CSP/data=!4m7!3m6!1s0x39edf9000105bf23:0xecd27f83c7c0ff17!8m2!3d25.6918045!4d86.1027879!16s%2Fg%2F11y5q87f3x!19sChIJI78FAQD57TkRF__Ax4N_0uw?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39f32c59a155052f:0xac6a3b4f76b56f69!8m2!3d24.6927591!4d84.9853373!16s%2Fg%2F11g81d6_4s!19sChIJLwVVoVks8zkRaW-1dk87aqw?authuser=0&hl=en&rclk=1,Bihar
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39ecf0d10406bfa3:0xe55a9205f7d67cd4!8m2!3d26.5764433!4d85.5126372!16s%2Fg%2F11g6bcqy62!19sChIJo78GBNHw7DkR1HzW9wWSWuU?authuser=0&hl=en&rclk=1,Bihar
