name,url,state
UCO Bank - Habibganj Branch,https://www.google.com/maps/place/UCO+Bank+-+Habibganj+Branch/data=!4m7!3m6!1s0x397c425e1e684dd7:0xfb01735ffada13b0!8m2!3d23.2318123!4d77.4311779!16s%2Fg%2F1hjgxv7h4!19sChIJ101oHl5CfDkRsBPa-l9zAfs?authuser=0&hl=en&rclk=1,Madhya Pradesh
UCO Bank - Jatkhedi Branch,https://www.google.com/maps/place/UCO+Bank+-+Jatkhedi+Branch/data=!4m7!3m6!1s0x397c436578a31575:0xcece04fa3d1bedb0!8m2!3d23.1719794!4d77.4647629!16s%2Fg%2F11j0s5dbsg!19sChIJdRWjeGVDfDkRsO0bPfoEzs4?authuser=0&hl=en&rclk=1,Madhya Pradesh
UCO Bank - Arera Colony Branch,https://www.google.com/maps/place/UCO+Bank+-+Arera+Colony+Branch/data=!4m7!3m6!1s0x397c42516e5993db:0xfe93476ca78d2734!8m2!3d23.2150522!4d77.4319859!16s%2Fg%2F1q5bm9s3v!19sChIJ25NZblFCfDkRNCeNp2xHk_4?authuser=0&hl=en&rclk=1,Madhya Pradesh
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x397c43a4d4617f9f:0xacb9a910a00a2e70!8m2!3d23.1935409!4d77.4355831!16s%2Fg%2F1q64gylyd!19sChIJn39h1KRDfDkRcC4KoBCpuaw?authuser=0&hl=en&rclk=1,Madhya Pradesh
UCO Bank - Bagmugalia Branch,https://www.google.com/maps/place/UCO+Bank+-+Bagmugalia+Branch/data=!4m7!3m6!1s0x397c4163d020ee3b:0xb6096773bbe5d431!8m2!3d23.1947037!4d77.4736785!16s%2Fg%2F11bbt5vcxt!19sChIJO-4g0GNBfDkRMdTlu3NnCbY?authuser=0&hl=en&rclk=1,Madhya Pradesh
UCO Bank - Rau Branch,https://www.google.com/maps/place/UCO+Bank+-+Rau+Branch/data=!4m7!3m6!1s0x3962fbe23a898a95:0xf4026d84f4880a69!8m2!3d22.6325862!4d75.8090216!16s%2Fg%2F1q6j8vx0p!19sChIJlYqJOuL7YjkRaQqI9IRtAvQ?authuser=0&hl=en&rclk=1,Madhya Pradesh
UCO Bank - Maharani Road Branch,https://www.google.com/maps/place/UCO+Bank+-+Maharani+Road+Branch/data=!4m7!3m6!1s0x3962fd11873bd043:0xe861381fd95af26b!8m2!3d22.7184224!4d75.8674447!16s%2Fg%2F1q62bkj4n!19sChIJQ9A7hxH9YjkRa_Ja2R84Yeg?authuser=0&hl=en&rclk=1,Madhya Pradesh
UCO Bank Gram Pipliahana Branch,https://www.google.com/maps/place/UCO+Bank+Gram+Pipliahana+Branch/data=!4m7!3m6!1s0x3962fd33bd9270ad:0x7a681d1e07d364a6!8m2!3d22.7195995!4d75.8960386!16s%2Fg%2F1hm6j46fc!19sChIJrXCSvTP9YjkRpmTTBx4daHo?authuser=0&hl=en&rclk=1,Madhya Pradesh
UCO Bank - M.I.G. Colony Branch,https://www.google.com/maps/place/UCO+Bank+-+M.I.G.+Colony+Branch/data=!4m7!3m6!1s0x3962fd452287d07b:0x71a695d9d7a78562!8m2!3d22.7361483!4d75.8858987!16s%2Fg%2F124yh9t53!19sChIJe9CHIkX9YjkRYoWn19mVpnE?authuser=0&hl=en&rclk=1,Madhya Pradesh
UCO Bank - Vijay Nagar Branch,https://www.google.com/maps/place/UCO+Bank+-+Vijay+Nagar+Branch/data=!4m7!3m6!1s0x396302a9a529aa4d:0xa062b9a3e4aa4783!8m2!3d22.7521328!4d75.8918978!16s%2Fg%2F1q62mcj_3!19sChIJTaoppakCYzkRg0eq5KO5YqA?authuser=0&hl=en&rclk=1,Madhya Pradesh
