name,url,state
UCO Bank - TRTC Branch,https://www.google.com/maps/place/UCO+Bank+-+TRTC+Branch/data=!4m7!3m6!1s0x3753f413eac33341:0x8b993f013decaed8!8m2!3d23.8339661!4d91.2757515!16s%2Fg%2F11f00hzj4l!19sChIJQTPD6hP0UzcR2K7sPQE_mYs?authuser=0&hl=en&rclk=1,Tripura
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3753f40cdada4b25:0x57f56d6cc8c4b07c!8m2!3d23.8299635!4d91.2824865!16s%2Fg%2F11h5l5nb99!19sChIJJUva2gz0UzcRfLDEyGxt9Vc?authuser=0&hl=en&rclk=1,Tripura
UCO Bank - East Pratapgarh Branch,https://www.google.com/maps/place/UCO+Bank+-+East+Pratapgarh+Branch/data=!4m7!3m6!1s0x3753f39878008d6b:0x8dc22ef3e61bb023!8m2!3d23.8150147!4d91.3083641!16s%2Fg%2F11g9m_306l!19sChIJa40AeJjzUzcRI7Ab5vMuwo0?authuser=0&hl=en&rclk=1,Tripura
UCO Bank - Khayerpur Branch,https://www.google.com/maps/place/UCO+Bank+-+Khayerpur+Branch/data=!4m7!3m6!1s0x3753f226d3cb5ef5:0xdaac7e73e94040f5!8m2!3d23.8491239!4d91.3418865!16s%2Fg%2F11c1zxtwlz!19sChIJ9V7L0ybyUzcR9UBA6XN-rNo?authuser=0&hl=en&rclk=1,Tripura
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3753f3f5b60cb1af:0xc7ec2b6474ee6bea!8m2!3d23.8336465!4d91.2912415!16s%2Fg%2F12lkjz51z!19sChIJr7EMtvXzUzcR6mvudGQr7Mc?authuser=0&hl=en&rclk=1,Tripura
UCO Bank - Chandrapur Branch,https://www.google.com/maps/place/UCO+Bank+-+Chandrapur+Branch/data=!4m7!3m6!1s0x3751ecc0bdc249c3:0xb64bf6f1735fc6f!8m2!3d24.3890219!4d92.1609111!16s%2Fg%2F11g871w63y!19sChIJw0nCvcDsUTcRb_w1F2-_ZAs?authuser=0&hl=en&rclk=1,Tripura
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3753b2d9c93acedf:0xb2e2c01f46d50646!8m2!3d23.6030259!4d91.820596!16s%2Fg%2F11bwp1p8f0!19sChIJ3846ydmyUzcRRgbVRh_A4rI?authuser=0&hl=en&rclk=1,Tripura
UCO Bank - Bagan Bazar Branch,https://www.google.com/maps/place/UCO+Bank+-+Bagan+Bazar+Branch/data=!4m7!3m6!1s0x3753c686fe3f25eb:0x6ba08341b4e00984!8m2!3d23.841185!4d91.63472!16s%2Fg%2F11c5ztk4ks!19sChIJ6yU__obGUzcRhAngtEGDoGs?authuser=0&hl=en&rclk=1,Tripura
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x37538bf1aa080037:0x602bc8e545ae936f!8m2!3d23.6782028!4d91.2820399!16s%2Fg%2F1tdmywhb!19sChIJNwAIqvGLUzcRb5OuReXIK2A?authuser=0&hl=en&rclk=1,Tripura
UCO Bank - Khowai Branch,https://www.google.com/maps/place/UCO+Bank+-+Khowai+Branch/data=!4m7!3m6!1s0x3753d936a182f457:0x1e6d2c5711bfc514!8m2!3d24.0688673!4d91.6035204!16s%2Fg%2F11c13wd6_l!19sChIJV_SCoTbZUzcRFMW_EVcsbR4?authuser=0&hl=en&rclk=1,Tripura
