name,url,state
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b0872d02af7c60d:0xc6d808ed9973575f!8m2!3d9.9658353!4d76.3059912!16s%2Fg%2F1tgn34vr!19sChIJDcb3KtByCDsRX1dzme0I2MY?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b0872beca860241:0x61832d9931910c49!8m2!3d9.9600153!4d76.2887091!16s%2Fg%2F11b_2673wl!19sChIJQQKGyr5yCDsRSQyRMZktg2E?authuser=0&hl=en&rclk=1,Kerala
UCO Bank Kollam Branch,https://www.google.com/maps/place/UCO+Bank+Kollam+Branch/data=!4m7!3m6!1s0x3b05fc5e4c4d85bb:0x9504431a6ac6632c!8m2!3d8.8806435!4d76.5919431!16s%2Fg%2F11bw4x9yfd!19sChIJu4VNTF78BTsRLGPGahpDBJU?authuser=0&hl=en&rclk=1,Kerala
UCO Bank - Mallapuzhassery Branch,https://www.google.com/maps/place/UCO+Bank+-+Mallapuzhassery+Branch/data=!4m7!3m6!1s0x3b063de68f5a075b:0xd83384e3873e972f!8m2!3d9.3115354!4d76.7254002!16s%2Fg%2F11c4czkhhj!19sChIJWwdaj-Y9BjsRL5c-h-OEM9g?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3ba43d4ba705590b:0x693304e796208719!8m2!3d11.8713223!4d75.3606695!16s%2Fg%2F1pp2vjgjx!19sChIJC1kFp0s9pDsRGYcglucEM2k?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b081986cd21ad57:0x4abd35cfba393da5!8m2!3d10.1818624!4d76.1745853!16s%2Fg%2F11d_9f800b!19sChIJV60hzYYZCDsRpT05us81vUo?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b081bf4af12df85:0xc8a38fcb29d8a513!8m2!3d10.2272069!4d76.2009285!16s%2Fg%2F11cn3m443d!19sChIJhd8Sr_QbCDsRE6XYKcuPo8g?authuser=0&hl=en&rclk=1,Kerala
UCO Bank - Perinthalmanna,https://www.google.com/maps/place/UCO+Bank+-+Perinthalmanna/data=!4m7!3m6!1s0x3ba7cda58d98ba2f:0xba5eb24fa53d4721!8m2!3d10.9743099!4d76.2368687!16s%2Fg%2F11c1t5s81x!19sChIJL7qYjaXNpzsRIUc9pU-yXro?authuser=0&hl=en&rclk=1,Kerala
UCO Bank Palakkad Branch,https://www.google.com/maps/place/UCO+Bank+Palakkad+Branch/data=!4m7!3m6!1s0x3ba86dfc09ef2d7b:0xc9f3f5355d02cd4a!8m2!3d10.7730379!4d76.6504312!16s%2Fg%2F11c74dsvm5!19sChIJey3vCfxtqDsRSs0CXTX188k?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b080c88721b20db:0x5857439695fd6940!8m2!3d10.0182465!4d76.3514696!16s%2Fg%2F1v44nvrt!19sChIJ2yAbcogMCDsRQGn9lZZDV1g?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b05b8ed20b94491:0x4c169f90a265d6d3!8m2!3d8.5888432!4d76.9499136!16s%2Fg%2F1hm4h51bc!19sChIJkUS5IO24BTsR09ZlopCfFkw?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3ba42651e3853833:0xb37ff6edaca059be!8m2!3d11.7487416!4d75.4923911!16s%2Fg%2F1tdj2n3m!19sChIJMziF41EmpDsRvlmgrO32f7M?authuser=0&hl=en&rclk=1,Kerala
UCO Bank - Zonal Office,https://www.google.com/maps/place/UCO+Bank+-+Zonal+Office/data=!4m7!3m6!1s0x3b0872b9d976e821:0xdfb9648cd5547bd!8m2!3d9.9622786!4d76.2901669!16s%2Fg%2F11c4sqt1h9!19sChIJIeh22blyCDsRvUdVzUiW-w0?authuser=0&hl=en&rclk=1,Kerala
UCO Bank Karunagappally Branch,https://www.google.com/maps/place/UCO+Bank+Karunagappally+Branch/data=!4m7!3m6!1s0x3b06030019bd58b3:0x3b5a8cd3ef1e0498!8m2!3d9.0543969!4d76.5412756!16s%2Fg%2F11vytmhk13!19sChIJs1i9GQADBjsRmAQe79OMWjs?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b086d78d76ee405:0x37ecf58891b206ca!8m2!3d9.9314701!4d76.2646064!16s%2Fg%2F11cmy4sgx5!19sChIJBeRu13htCDsRygaykYj17Dc?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3ba64466a48174f7:0x2f6d5741c80d94bd!8m2!3d11.2604546!4d75.9533112!16s%2Fg%2F11c67rxlt4!19sChIJ93SBpGZEpjsRvZQNyEFXbS8?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b0873260e80e161:0xd749f9223003920d!8m2!3d9.9494955!4d76.3471954!16s%2Fg%2F11v5qxfwb_!19sChIJYeGADiZzCDsRDZIDMCL5Sdc?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b05bba41b4d5895:0x55cb85698f9e78f4!8m2!3d8.4883406!4d76.9477369!16s%2Fg%2F1td40y2h!19sChIJlVhNG6S7BTsR9Hiej2mFy1U?authuser=0&hl=en&rclk=1,Kerala
UCO Bank Puthuppariyaram Branch,https://www.google.com/maps/place/UCO+Bank+Puthuppariyaram+Branch/data=!4m7!3m6!1s0x3ba871c748026567:0xbd0b1a19b70fa823!8m2!3d10.8060236!4d76.6197431!16s%2Fg%2F11d_7s440c!19sChIJZ2UCSMdxqDsRI6gPtxkaC70?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3ba87f82bc751f05:0x6d13db332bc5e964!8m2!3d10.9927325!4d76.4667816!16s%2Fg%2F11c1t52g7g!19sChIJBR91vIJ_qDsRZOnFKzPbE20?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b0812b951d1f885:0x4b34e7f4b3002d3d!8m2!3d9.9879753!4d76.2530326!16s%2Fg%2F1260vfq7x!19sChIJhfjRUbkSCDsRPS0As_TnNEs?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3ba79546c4b7c89f:0xa4e3b849e7bbb5b0!8m2!3d10.6467274!4d76.0692007!16s%2Fg%2F11cn0pwgg4!19sChIJn8i3xEaVpzsRsLW750m446Q?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b08848a769405eb:0x8c88982fb3b960f3!8m2!3d9.4965095!4d76.3444733!16s%2Fg%2F11c2l3y09t!19sChIJ6wWUdoqECDsR82C5sy-YiIw?authuser=0&hl=en&rclk=1,Kerala
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3b07dd8972ccbe05:0xb6a2cc603feb3f8b!8m2!3d9.9822385!4d76.5791595!16s%2Fg%2F11bw3dhtm_!19sChIJBb7McondBzsRiz_rP2DMorY?authuser=0&hl=en&rclk=1,Kerala
