name,url,state
UCO Bank Shastradhara Branch,https://www.google.com/maps/place/UCO+Bank+Shastradhara+Branch/data=!4m7!3m6!1s0x3908d7fbe6fc65ed:0xdaa0fbd2883cb7b0!8m2!3d30.3706108!4d78.0973114!16s%2Fg%2F11hh7wjg0f!19sChIJ7WX85vvXCDkRsLc8iNL7oNo?authuser=0&hl=en&rclk=1,Uttarakhand
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39093df83a053577:0x4fd9928255c58986!8m2!3d30.1049358!4d78.2910794!16s%2Fg%2F11cs6hpz68!19sChIJdzUFOvg9CTkRhonFVYKS2U8?authuser=0&hl=en&rclk=1,Uttarakhand
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3908d79ea5b6cef5:0x3f5bc618bbbeed!8m2!3d30.3901661!4d78.0933082!16s%2Fg%2F1ptww9llj!19sChIJ9c62pZ7XCDkR7b67GMZbPwA?authuser=0&hl=en&rclk=1,Uttarakhand
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39a0672cbbc8b38b:0x1cebb748acc98d48!8m2!3d28.9284417!4d79.7017064!16s%2Fg%2F11css0qwxt!19sChIJi7PIuyxnoDkRSI3JrEi36xw?authuser=0&hl=en&rclk=1,Uttarakhand
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x390929a2d2d2ed55:0x3cd890a9a76cc1e9!8m2!3d30.3109564!4d78.0445997!16s%2Fg%2F124swtpcd!19sChIJVe3S0qIpCTkR6cFsp6mQ2Dw?authuser=0&hl=en&rclk=1,Uttarakhand
UCO Bank - Govindpuri,https://www.google.com/maps/place/UCO+Bank+-+Govindpuri/data=!4m7!3m6!1s0x3909464f4da538e1:0xf519458b4b91ad9c!8m2!3d29.9336199!4d78.1395587!16s%2Fg%2F11g8_2c9jr!19sChIJ4TilTU9GCTkRnK2RS4tFGfU?authuser=0&hl=en&rclk=1,Uttarakhand
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x3908d4dbd1146851:0x1c224edf795239a1!8m2!3d30.3871561!4d77.942928!16s%2Fg%2F11c70j3xfd!19sChIJUWgU0dvUCDkRoTlSed9OIhw?authuser=0&hl=en&rclk=1,Uttarakhand
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39a05ea7c57fbbe1:0xc994b71c1fbeeb93!8m2!3d28.940469!4d79.8152288!16s%2Fg%2F11c70hpy5j!19sChIJ4bt_xadeoDkRk-u-Hxy3lMk?authuser=0&hl=en&rclk=1,Uttarakhand
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x39092bb596d063ed:0x44402c96d2962ae1!8m2!3d30.2912641!4d77.995558!16s%2Fg%2F1ptwzknny!19sChIJ7WPQlrUrCTkR4SqW0pYsQEQ?authuser=0&hl=en&rclk=1,Uttarakhand
UCO Bank,https://www.google.com/maps/place/UCO+Bank/data=!4m7!3m6!1s0x390928fa362dae03:0x82632adc7fd219d4!8m2!3d30.2953196!4d78.0742706!16s%2Fg%2F11cjj6zd47!19sChIJA64tNvooCTkR1BnSf9wqY4I?authuser=0&hl=en&rclk=1,Uttarakhand
UCO Bank - Haripur Kalan Branch,https://www.google.com/maps/place/UCO+Bank+-+Haripur+Kalan+Branch/data=!4m7!3m6!1s0x390938a9cf89ce11:0x434f07cb5e5f259d!8m2!3d29.9954618!4d78.1941352!16s%2Fg%2F11dz_mf8_m!19sChIJEc6Jz6k4CTkRnSVfXssHT0M?authuser=0&hl=en&rclk=1,Uttarakhand
